a piece of ～,１つの～,phrase
a couple of ～,２つの～、２，３の～,phrase
a number of ～,いくつもの～、かなり多くの～,phrase
dozens of ～,数十もの～、何ダースもの～,phrase
plenty of ～,たくさんの～,phrase
a great/good deal (of ～),たくさん（の～）,phrase
at home,①在宅して、家庭で ②くつろいで ③精通して,phrase
in time,①間に合って ②やがて、そのうちに,phrase
in fashion,流行して,phrase
on time,時間通りに［で］,phrase
on duty,当番で、勤務時間中で,phrase
on schedule,予定通りで、定時に,phrase
up to date,最新（式）の,phrase
be aware of ～,～を知っている、～に気づいている,phrase
be made of ～,～でできている,phrase
be capable of ～,～ができる、～の可能性がある,phrase
be afraid of ～,～を恐れる［怖がる］、～を心配している,phrase
be sure of/about ～,～を確信している,phrase
be composed of ～,～から構成されている,phrase
be based on/upon ～,～に基づいている,phrase
be different from ～,～とは違っている,phrase
be absent from ～,～を欠席する,phrase
be engaged in ～,～に従事している、忙しく～をしている,phrase
be responsible for ～,～に責任がある,phrase
be married (to ～),（～と）結婚している,phrase
be satisfied with ～,～に満足している,phrase
be curious about ～,～を知りたがる、～に好奇心の強い,phrase
be well off,裕福である,phrase
be likely to do,…しそうである,phrase
be willing to do,…してもかまわない,phrase
be about to do,今にも…しようとしている,phrase
lead to ～,～（という結果）を引き起こす、～へと通じる,phrase
refer to ～,①～に言及する ②～を参照する、～に問い合わせる,phrase
contribute to ～,～の一因となる、～に貢献する、～に寄付［寄稿］する,phrase
amount to ～,総計～になる,phrase
depend on/upon ～,～に頼る、～しだいである,phrase
focus on ～,～に集中する、～に焦点を合わせる,phrase
rely on/upon ～,～に頼る,phrase
get on (～),①（公共の乗り物など）に乗る ②仲良くやっていく、（なんとか）やっていく,phrase
insist on/upon ～,～を主張する,phrase
concentrate on ～,～に集中する,phrase
look for ～,～を探す［捜す］,phrase
search for ～,～を探す［捜す］,phrase
prepare for ～,～の準備をする、～に備える,phrase
think of ～,①～をしようかなと思う、～のことを考える ②～を思いつく ③～を思い出す,phrase
consist of ～,～から成り立っている,phrase
complain about/of ～,（苦痛など）を訴える、～について不平を言う,phrase
die of/from ～,～で死ぬ,phrase
suffer from ～,（病気など）で苦しむ［悩む］,phrase
result from ～,～から起こる,phrase
graduate from ～,～を卒業する,phrase
differ from ～,～と異なる,phrase
recover from ～,～から立ち直る［回復する］,phrase
hear from ～,～から便り［電話・伝言］がある,phrase
believe in ～,～の価値［存在］を信じる、～を信用する,phrase
succeed in ～,～に成功する,phrase
major in ～,（大学生が）～を専攻する,phrase
abound in/with ～,（場所が）～に富む,phrase
care about ～,～に気にかける、～に関心を持つ,phrase
bring about ～,～を引き起こす,phrase
deal with ～,"～を扱う,処理する"
go through ～,①～を通過する ②（苦しみなど）を経験する,phrase
give up ～,～をあきらめる、～捨てる［やめる］,phrase
grow up,大人になる、（事態などが）生じる,phrase
pick up ～,～を（車などに）乗せる、～拾う,phrase
set up ～,～を立てる［建てる］、～を創設する［始める］,phrase
wake up (～),目が覚める、（人）の目を覚まさせる,phrase
brush up (on) ～,（語学など）をやり直して磨きをかける,phrase
find out ～,（調査などの結果）を見つけ出す、（真相）を知る,phrase
carry out ～,～を実行する,phrase
point out ～,～を指摘する,phrase
figure out (～),～を理解する、～を計算する、～を解く,phrase
turn out (～),①～であることが分かる、（結果的に）～になる ②～を産出する ③（催しなどに）繰り出す,phrase
fill out ～,（書類など）に書き込む,phrase
pick out ～,～を選ぶ,phrase
put on ～,～を（身に）つける、（電気器具ガスなど）をつける,phrase
work on (～),①働き続ける ②～に取り組む、～を手がける、～に影響を与える、（薬などが）～に効く,phrase
try on ～,～を試着する,phrase
turn on (～),（スイッチなど）をつける、（水・ガスなど）を出す、（明かりなどが）つく,phrase
turn off (～),（スイッチなど）を消す、（水・ガスなど）を止める、（明かりなどが）消える,phrase
take off (～),①～を脱ぐ、～を取り除く ②離陸する、（流行・売り上げなどが）急増［急伸］する ③～を休暇としてとる,phrase
get along,①暮らす、（なんとか）やっていく ②仲良くやっていく、進む,phrase
get together (～),集まる、～を集める,phrase
calm down (～),～を落ち着かせる［静める］、落ち着く［静まる］,phrase
think over ～,～をよく考える,phrase
keep doing,…し続ける,phrase
take place,催される、起こる,phrase
play a role/part (in ～),（～で）役割を演じる［果たす］,phrase
make sure (～),（～を）確かめる、確実に～をする,phrase
make sense,意味をなす、道理にかなう,phrase
make a difference,違いが生じる、重要である,phrase
make a mistake,間違いをする,phrase
make progress,進歩する,phrase
make up one's mind,決心する,phrase
do one's best,最善を尽くす,phrase
keep one's promise/word,約束を守る,phrase
get lost,道に迷う,phrase
enjoy oneself,楽しい時を過ごす,phrase
have/take ～ off,～を休みとしてとる,phrase
pay attention to ～,～に注意を払う,phrase
take care of ～,～に気をつける、～の世話をする,phrase
look forward to ～,～を楽しみに待つ,phrase
ask for ～,～を求める,phrase
get rid of ～,（厄介なもの）を取り除く,phrase
fall in love with ～,（事・物）を大好きになる、（人）と恋に落ちる,phrase
used to do/be,～したものだった、昔は～であった,phrase
had better do,…したほうがいい、…すべきだ,phrase
help A with B,AのBを手伝う、AをBで助ける,phrase
prefer A to B,ＢよりＡを好む,phrase
turn A into B,ＡをＢに（質的に）変える,phrase
prevent A from B,AがBするのを妨げる、AをBから防ぐ,phrase
remind A of/about B,AにBを思い出させる,phrase
regard A as B,AをBとみなす,phrase
associate A with B,ＡをＢと結びつけて考える,phrase
inform A of/about B,AにBを知らせる,phrase
after all,結局（は）、やっぱり,phrase
all the time,いつも、常に,phrase
all the way,ずっと、はるばる,phrase
～ and so on/forth,～など,phrase
and yet,それにも関わらず,phrase
as ～ as possible/one can,できる限り～,phrase
as a result (of ～),（～の）結果として,phrase
as a whole,全体として（の）,phrase
as usual,いつものように,phrase
at best,よくても、せいぜい,phrase
at least,少なくとも,phrase
at (the) most,せいぜい、多くても,phrase
at a time,一度に,phrase
at once,①すぐに ②同時に,phrase
at all,①（否定文で）まったく ②（疑問文で）一体、そもそも③（肯定文で）そもそも、ともかく,phrase
at any rate,とにかく、いずれにしても,phrase
at random,無作為に、手当たり次第に,phrase
more or less,①多かれ少なかれ、程度の差はあれ②ほぼ、おおよそ,phrase
at times,ときどき,phrase
between you and me,ここだけの話だが、内緒だが,phrase
by hand,手で,phrase
by mistake,間違って,phrase
by no means,全然～ない,phrase
by the way,ところで,phrase
far from ～,～からほど遠い、～どころではない,phrase
for a while,しばらくの間,phrase
for example/instance,例えば,phrase
for one thing,一つには,phrase
in a hurry,急いで、あせって,phrase
in addition (to ～),（～に）加えて、さらに,phrase
in any case/event,とにかく、いずれにしても,phrase
in detail,詳細に,phrase
in fact,①実際に ②（前言と対照して）（ところが）実際は,phrase
in general,①一般に ②（名詞の後に置いて）一般の,phrase
in other words,言い換えれば、つまり,phrase
in public,人前で、公然と,phrase
in reality,（ところが）実際には、（想像などではなく）現実に,phrase
in the end,結局は、ついには,phrase
in the future,将来は、今後は,phrase
in the long run,長い目で見れば、結局は,phrase
no doubt,おそらく、たぶん,phrase
